Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;TklW/90;Blocks/90;Int/90;Err/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;Points/90;xGA;xGA/90;Aerial%;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Watford;Premier League;41.6;23;22;18;22.8;16.3;1.15;1.1;0.9;1.14;0.82;40;2;2.0;61.5;0.0;34.9;0.33;-3.1;4.8;2.4;233;11.65;4.0;3.64;0.1999999999999993;72.3;83.0;80.1;53.5;1.7;271.2;375.25;98.85;115.95;51.55;5812.95;2241.4;8.7;21.2;6.3;1.9;24.75;18.3;1.75;28.9;10.95;14.7;15.55;0.15;33.35;495.55;10.3;57.1;0.7;38.2;1.91;49.9;85.75;13.65;9.65;21.9;-15.400000000000002;-0.77
West Ham;Premier League;47.9;39;36;32;33.4;24.3;1.7;1.57;1.39;1.45;1.06;31;0;1.35;70.3;21.7;32.3;0.31;1.3;4.39;3.26;299;13.0;4.17;2.67;5.600000000000001;77.5;87.7;84.1;55.7;7.7;354.65;457.61;142.91;152.48;53.39;7013.09;2388.52;9.04;26.26;8.35;2.7;29.87;19.43;2.91;29.0;10.0;15.04;14.3;0.09;30.65;569.78;6.48;48.5;1.61;29.5;1.28;49.2;85.74;9.35;7.57;18.96;3.8999999999999986;0.16999999999999993
Wolves;Premier League;47.9;18;17;11;20.9;14.2;0.86;0.81;0.52;1.0;0.68;16;0;0.76;84.8;38.1;22.3;0.24;6.3;3.76;4.94;212;10.1;3.29;4.06;-2.8999999999999986;79.7;86.9;87.4;61.8;-3.2;376.05;472.1;139.29;168.29;63.62;7689.43;2412.19;7.05;27.29;5.19;1.19;27.62;15.33;1.38;30.2;12.48;15.57;14.67;0.24;34.29;592.43;11.71;56.8;1.62;27.1;1.29;48.7;81.67;9.86;8.86;15.1;-6.200000000000003;-0.29000000000000004
Angers;Ligue 1;49.5;26;19;15;26.4;14.6;1.18;0.86;0.68;1.2;0.66;29;1;1.32;70.4;27.3;25.6;0.27;-2.4;3.68;2.79;216;9.82;3.05;3.53;-0.3999999999999986;83.5;88.8;89.6;67.6;0.4;423.59;507.18;149.82;199.23;66.59;8551.0;2726.73;6.95;25.5;4.82;1.55;29.05;15.68;1.77;29.2;12.41;14.77;15.36;0.23;34.91;630.32;12.23;53.9;1.32;27.2;1.24;41.4;77.23;11.41;12.64;10.82;-0.8000000000000007;-0.040000000000000036
Bordeaux;Ligue 1;45.9;32;31;26;24.7;17.8;1.45;1.41;1.18;1.12;0.81;53;0;2.41;59.0;0.0;41.4;0.32;-11.6;5.32;2.21;253;11.5;3.86;2.74;7.300000000000001;79.6;87.6;86.3;62.2;8.2;354.91;445.59;135.41;151.64;61.36;7293.59;2532.0;8.23;22.68;6.27;1.5;27.45;17.77;2.18;28.7;11.36;14.27;19.18;0.36;36.77;564.14;9.41;53.2;0.91;43.1;1.96;46.0;73.14;11.05;10.27;12.73;-18.400000000000002;-0.8399999999999999
Brest;Ligue 1;42.0;27;21;15;27.0;16.8;1.23;0.95;0.68;1.23;0.76;33;2;1.5;66.0;18.2;25.6;0.27;-5.4;4.27;2.85;244;11.09;3.86;4.05;0.0;78.3;85.8;84.3;62.6;-1.8;335.77;428.95;131.45;138.23;58.18;6844.36;2539.45;8.59;26.68;7.64;2.55;29.91;18.27;1.73;29.3;13.09;13.77;17.41;0.14;37.32;546.77;8.64;50.9;1.27;31.6;1.44;55.8;73.82;11.14;9.82;19.82;-4.600000000000001;-0.20999999999999996
Clermont Foot;Ligue 1;51.4;20;19;15;24.4;19.6;0.91;0.86;0.68;1.11;0.89;39;3;1.77;58.1;22.7;27.6;0.3;-8.4;3.91;2.21;251;11.41;3.64;4.21;-4.399999999999999;81.9;88.8;87.1;62.1;-4.6;434.18;530.23;191.36;177.86;57.32;8107.77;2646.95;8.14;26.09;6.14;2.5;29.09;17.41;1.55;32.9;12.68;13.59;14.09;0.27;32.59;639.82;9.91;57.5;0.95;30.3;1.38;47.7;78.95;9.64;13.09;12.91;-5.900000000000002;-0.2699999999999998
Lens;Ligue 1;50.5;35;32;25;33.4;24.8;1.59;1.45;1.14;1.52;1.13;31;0;1.41;65.0;22.7;25.5;0.3;-5.5;3.64;2.58;291;13.23;4.95;3.41;1.6000000000000014;83.5;88.9;89.0;64.9;0.2;442.41;529.73;177.95;198.82;57.95;8473.73;2691.95;9.82;31.18;7.68;1.91;37.32;20.64;2.55;28.8;9.95;13.27;16.23;0.14;32.73;635.64;8.45;57.6;1.5;24.4;1.11;53.9;72.32;11.59;8.27;12.55;9.0;0.4099999999999999
Lille;Ligue 1;50.2;27;23;18;32.2;21.1;1.23;1.05;0.82;1.47;0.96;30;1;1.36;70.7;9.1;27.4;0.28;-1.6;4.18;3.07;247;11.23;3.77;3.61;-5.200000000000003;80.2;87.6;86.4;63.0;-3.1;398.05;496.27;166.05;162.68;61.09;7730.82;2562.27;8.32;28.18;7.64;1.64;34.91;17.68;2.05;30.2;11.77;15.18;14.05;0.05;32.45;610.82;8.59;54.0;1.45;23.0;1.05;53.7;80.27;10.73;11.41;16.05;9.200000000000003;0.41999999999999993
Lorient;Ligue 1;44.7;17;15;9;24.7;17.9;0.77;0.68;0.41;1.12;0.81;38;2;1.73;61.4;18.2;31.4;0.32;-4.6;4.0;2.32;244;11.09;3.5;5.13;-7.699999999999999;78.7;86.9;85.8;59.6;-8.9;353.27;448.68;136.91;153.77;56.36;7062.64;2316.77;7.82;25.59;5.5;2.18;29.14;17.32;1.32;29.7;12.59;13.73;16.86;0.32;37.45;567.18;9.0;54.4;0.77;33.1;1.5;45.6;80.05;11.5;10.41;13.05;-8.400000000000002;-0.3799999999999999
